CPT_ID,TRAMITE,ESTADO_TRAMITE,TIPO_TRAMITE,FECHA_SOMETIDO,FECHA_EXPEDIDO,FECHA,A�O,NOMBRE_PROYECTO,DESCRIPCION_PROYECTO,CATEGORIA,CODE_CATEGORIA,SOLICITANTE,MUNICIPIO,CDBG_DR,COORDENADAS_LAT,COORDENADAS_LON
838010,2020-298040-PCOC-020820,PERMIT_APPROVED,PCOC,12/1/2021,12/6/2021,21-Dec,2021,JW Marriott Hotel & Marriott Vacation Club International Tower,"proyecto turístico de hotel y club vacacional o ""time share""",Development,A,pjaner@cmapr.com,Vega Alta,0,18.47407343,-66.31800413
820083,2018-248043-PCOC-019759,PERMIT_APPROVED,PCOC,10/21/2021,12/6/2021,21-Dec,2021,Atlantic Estates at Bahia Beach Resort,desarrollo de 32 lotes unifamiliares y un lote para condohotel ,Development,A,pjaner@cmapr.com,Río Grande,0,18.41608108,-65.82121611
822963,2021-387502-PCOC-019943,PERMIT_APPROVED,PCOC,10/27/2021,11/17/2021,21-Nov,2021,HOTEL DON RAFA,"hotel turístico con recepción en el 1er nivel, treinta y seis (36) habitaciones en los niveles 3, 4, 5 y 6, y en el 7mo nivel facilidades recreativas, restaurante con venta de bebidas alcohólicas y una piscina. ",Development,A,proactiveconstruction@gmail.com,San Juan,0,18.45629497,-66.08483253
754935,2018-248619-PCOC-015505,PERMIT_APPROVED,PCOC,5/26/2021,7/16/2021,21-Jul,2021,HOTEL COCO'S,hotel,Development,A,p.robles76@yahoo.com,Fajardo,0,18.3646948,-65.63198814
774278,2020-298040-PCOC-016789,PERMIT_APPROVED,PCOC,7/8/2021,7/14/2021,21-Jul,2021,JW Marriott Hotel & Marriott Vacation Club International Tower,"proyecto turìstico de hotel y club vacacional o ""time share""",Development,A,pjaner@cmapr.com,Vega Alta,0,18.47407343,-66.31800413
741719,2020-298040-PCOC-014502,PERMIT_APPROVED,PCOC,4/26/2021,5/25/2021,21-May,2021,JW Marriott Hotel & Marriott Vacation Club International Tower,"proyecto turìstico de hotel y club vacacional o ""time share""",Development,A,pjaner@cmapr.com,Vega Alta,0,18.47407343,-66.31800413
707843,2019-289961-PCOC-012341,PERMIT_APPROVED,PCOC,2/9/2021,4/19/2021,21-Apr,2021,West Point Residences & Residents' Beach Club,"8 edificios de condohotel con 36 unidades y edificio con facilidades recreativas de piscinas, spa, restaurante, barras",Development,A,pjaner@cmapr.com,Dorado,0,18.47568122,-66.30985022
698885,2021-351364-PCOC-011815,PERMIT_APPROVED,PCOC,1/18/2021,3/24/2021,21-Mar,2021,DBR West Point Residences I,condohotel de ocho (8) unidades multifamiliares,Development,A,pjaner@cmapr.com,Dorado,0,18.47588474,-66.30959272
576906,2019-292767-PCOC-004290,PERMIT_APPROVED,PCOC,12/18/2019,3/18/2021,21-Mar,2021,TrÛpica Beach Hotel Annex,anexo de 8 habitaciones y oficina para el trûpica beach hotel.,Development,A,jfv@hacedormaker.com,San Juan,0,18.45300283,-66.05784863
684471,2020-298040-PCOC-010970,PERMIT_APPROVED,PCOC,12/4/2020,12/10/2020,20-Oct,2020,JW Marriott Hotel & Marriott Vacation Club International Tower,"proyecto turìstico de hotel y club vacacional o ""time share""",Development,A,pjaner@cmapr.com,Vega Alta,0,18.47407343,-66.31800413
649298,2020-328556-PCOC-008897,PERMIT_APPROVED,PCOC,11/2/2020,11/20/2020,20-Nov,2020,JRC International Boutique Hotel & Business Center Aloft,"hotel de 150 habitaciones, con piscina, restaurante y espacios de alquiler_x000d_
",Development,A,jerrymisla@hotmail.com,Ponce,0,17.99716844,-66.60398819
668579,2020-298040-PCOC-010040,PERMIT_APPROVED,PCOC,10/27/2020,11/13/2020,20-Nov,2020,JW Marriott Hotel & Marriott Vacation Club International Tower,"proyecto turìstico de hotel y club vacacional o ""time share""",Development,A,pjaner@cmapr.com,Vega Alta,0,18.47407343,-66.31800413
598516,2018-248043-PCOC-005641,PERMIT_APPROVED,PCOC,3/2/2020,9/16/2020,20-Sep,2020,Atlantic Estates at Bahia Beach Resort,desarrollo de 32 lotes unifamiliares y un lote para condohotel ,Development,A,pjaner@cmapr.com,RÌo Grande,0,18.41608108,-65.82121611
607864,2019-265384-PCOC-006325,PERMIT_APPROVED,PCOC,4/29/2020,9/11/2020,20-Sep,2020,Residence Inn by Marriott,"iv hospitality, llc propone la construcciûn de un desarrollo hotelero con 224 habitaciones en la zona turìstica de isla verde, en el barrios cangrejo arriba del municipio autûnomo de carolina. se contempla construir una estructura de hormigûn armado de nueve niveles en el predio de 3.5703 cuerdas que actualmente es un estacionamiento abandonado._x000d_
",Development,A,rmateo@brapr.com,Carolina,0,18.44141967,-66.01635837
587196,2020-298040-PCOC-004872,PERMIT_APPROVED,PCOC,6/17/2020,8/5/2020,20-Aug,2020,JW Marriott Hotel & Marriott Vacation Club International Tower,"proyecto turìstico de hotel y club vacacional o ""time share""",Development,A,pjaner@cmapr.com,Vega Alta,0,18.47407343,-66.31800413
569771,2019-277705-PCOC-003787,PERMIT_APPROVED,PCOC,12/17/2019,8/5/2020,20-Aug,2020,ConstrucciÛn de Planta de Utilidades ,"se propone la construcciûn de una planta de utilidades para servir al desarrollo residencial-turìstico hacienda del mar (hdm).  actualmente, hdm comparte la estructura donde est·n ubicadas sus utilidades con el hotel cerromar, que cerrû operaciones hace m·s de una dècada.  la acciûn propuesta permitir· a hdm independizar sus utilidades del hotel cerromar.  la planta de utilidades propuesta ubicar· en un ·rea de 1,238 metros cuadrados.  …sta albergar· equipos para protecciûn contra incendios, agua caliente, tratamiento del agua de piscina, agua potable, ìchillersî, transformadores, generadores y tanque de gas.  el proyecto incluye la instalaciûn de lìnea aèrea de electricidad de 13.2 kv y tuberìas soterradas para los servicios de electricidad, telecomunicaciones y agua potable.  ",Development,A,pjaner@cmapr.com,Vega Alta,0,18.47433181,-66.32023862
622355,2019-252750-PCOC-007373,PERMIT_APPROVED,PCOC,7/8/2020,7/13/2020,20-Jul,2020,Beachfront Residences at Dorado Beach Resort V,edificio de condohotel de ocho (8) unidades residenciales,Development,A,pjaner@cmapr.com,Dorado,0,18.47541156,-66.30841255
579305,2015-049937-PCOC-004435,PERMIT_APPROVED,PCOC,2/20/2020,5/22/2020,20-May,2020,Posada PeÒuelas,construcciûn hotel,Development,A,ayalarubio@mac.com,PeÒuelas,0,18.05774769,-66.72228277
604202,2020-306782-PCOC-006067,PERMIT_APPROVED,PCOC,3/23/2020,3/23/2020,20-Mar,2020,Punta Borinquen Resort Aguadilla,"hotel 92 habitaciones, salones de actividades, salûn de conferencia, salûn de reuniones, restaurante, barra, piscina",Development,A,mgyasociados@yahoo.com,Aguadilla,0,18.50239075,-67.14094073
